Date,Operator,A/C Type,Location,Crew on board,Crew fatalities,PAX on board,PAX fatalities,Total on board,Total fatalities,Flight Type,Flight Phase,Continent,Year,Probable Causes
23-Jul-41,Luftwaffe,Focke-Wulf Fw.200 Condor,"Atlantic Ocean, All World",0,0,0,0,0,0,Military,Flight,Europe,1941,Conflict Factors
21-Oct-41,Royal Air Force,Avro 679 Manchester,"North Sea, All World",7,7,0,0,7,7,Bombing,Flight,Europe,1941,Technical Factors
8-Nov-41,Royal Air Force,Avro 679 Manchester,"North Sea, All World",7,7,0,0,7,7,Survey / Patrol / Reconnaissance,Flight,Europe,1941,Disappeared Without Trace
31-Jan-42,Royal Air Force,Avro 679 Manchester,"The Channel, All World",8,8,0,0,8,8,Military,Flight,Europe,1942,Unknown Reasons
31-Jan-42,Royal Air Force,Vickers 290 Wellington I,"Mediterranean Sea, All World",0,0,0,0,0,0,Military,Flight,Africa,1942,Technical Factors
1-Feb-42,Royal Air Force,Avro 679 Manchester,"The Channel, All World",8,2,0,0,8,2,Military,Flight,Europe,1942,Conflict Factors
20-Feb-42,United States AAF,Boeing B-17 Flying Fortress,"Atlantic Ocean, All World",0,0,0,0,0,0,Military,Flight,Unknown,1942,Disappeared Without Trace
28-Feb-42,BOAC,Short S.23 Empire Flying Boat,"Indian Ocean, All World",4,4,18,18,22,22,Humanitarian,Flight,Asia,1942,Conflict Factors
25-Mar-42,United States AAF,Martin B-26 Marauder,"Philippines Sea, All World",7,7,0,0,7,7,Military,Flight,Asia,1942,Poor Weather
26-Mar-42,Air Force,Airspeed AS.10 Oxford,"Pacific Ocean, All World",3,3,0,0,3,3,Training,Flight,Australia & Oceania,1942,Poor Weather
26-Mar-42,Royal Air Force,Avro 679 Manchester,"North Sea, All World",7,7,0,0,7,7,Bombing,Flight,Europe,1942,Disappeared Without Trace
30-Mar-42,Royal Air Force,Avro 679 Manchester,"North Sea, All World",7,7,0,0,7,7,Bombing,Flight,Europe,1942,Disappeared Without Trace
30-Mar-42,Royal Air Force,Avro 679 Manchester,"North Sea, All World",7,7,0,0,7,7,Bombing,Flight,Europe,1942,Human Errors
17-Apr-42,Royal Air Force,Avro 679 Manchester,"The Channel, All World",7,7,0,0,7,7,Bombing,Flight,Europe,1942,Disappeared Without Trace
23-Apr-42,Air Force,Lockheed L-414 Hudson,"Timor Sea, All World",4,4,0,0,4,4,Military,Flight,Australia & Oceania,1942,Disappeared Without Trace
9-May-42,Royal Air Force,Avro 683 Lancaster,"North Sea, All World",8,8,0,0,8,8,Bombing,Flight,Europe,1942,Disappeared Without Trace
31-May-42,Royal Air Force,Avro 679 Manchester,"North Sea, All World",7,7,0,0,7,7,Bombing,Flight,Europe,1942,Disappeared Without Trace
3-Jun-42,United States NAVY,Martin PBM Mariner,"Atlantic Ocean, All World",12,12,0,0,12,12,Survey / Patrol / Reconnaissance,Flight,North America,1942,Disappeared Without Trace
4-Jun-42,United States AAF,Martin B-26 Marauder,"Pacific Ocean, All World",7,7,0,0,7,7,Bombing,Flight,North America,1942,Conflict Factors
5-Jun-42,United States NAVY,Consolidated PBY-5A Catalina,"Gulf of Mexico, All World",7,7,0,0,7,7,Survey / Patrol / Reconnaissance,Flight,North America,1942,Disappeared Without Trace
7-Jun-42,Royal Air Force,Avro 679 Manchester,"North Sea, All World",7,2,0,0,7,2,Bombing,Flight,Europe,1942,Human Errors
7-Jun-42,Royal Air Force,Avro 679 Manchester,"North Sea, All World",7,7,0,0,7,7,Bombing,Flight,Europe,1942,Disappeared Without Trace
7-Jun-42,Royal Air Force,Avro 679 Manchester,"North Sea, All World",7,7,0,0,7,7,Bombing,Flight,Europe,1942,Disappeared Without Trace
11-Jun-42,Royal Air Force,Short S.25 Sunderland,"Atlantic Ocean, All World",9,9,0,0,9,9,Survey / Patrol / Reconnaissance,Flight,Africa,1942,Disappeared Without Trace
17-Jun-42,Air Force,Lockheed L-414 Hudson,"Timor Sea, All World",5,5,0,0,5,5,Survey / Patrol / Reconnaissance,Flight,Asia,1942,Technical Factors
20-Jun-42,Royal Air Force,Avro 679 Manchester,"North Sea, All World",7,7,0,0,7,7,Survey / Patrol / Reconnaissance,Flight,Europe,1942,Disappeared Without Trace
26-Jun-42,Royal Air Force,Lockheed L-414 Hudson,"North Sea, All World",4,2,0,0,4,2,Bombing,Flight,Europe,1942,Conflict Factors
4-Jul-42,Air Force,Lockheed L-414 Hudson,"Coral Sea, All World",4,4,0,0,4,4,Military,Flight,Australia & Oceania,1942,Disappeared Without Trace
12-Jul-42,Royal Air Force,Avro 683 Lancaster,"North Sea, All World",7,7,0,0,7,7,Bombing,Flight,Europe,1942,Disappeared Without Trace
14-Jul-42,United States NAVY,Consolidated PBY-5A Catalina,"Pacific Ocean, All World",9,9,0,0,9,9,Survey / Patrol / Reconnaissance,Flight,North America,1942,Disappeared Without Trace
25-Jul-42,Royal Air Force,Short S.25 Sunderland,"Mediterranean Sea, All World",13,13,0,0,13,13,Survey / Patrol / Reconnaissance,Flight,Unknown,1942,Disappeared Without Trace
29-Jul-42,Royal Air Force,Vickers 416 Wellington IC,"North Sea, All World",5,5,0,0,5,5,Bombing,Flight,Europe,1942,Disappeared Without Trace
17-Sep-42,Royal Air Force,Avro 683 Lancaster,"North Sea, All World",7,0,0,0,7,0,Bombing,Flight,Europe,1942,Unknown Reasons
12-Nov-42,Air Force,Douglas DC-3,"Coral Sea, All World",4,0,0,0,4,0,Military,Flight,Australia & Oceania,1942,Human Errors
15-Nov-42,LATI,Savoia-Marchetti SM.75,"Mediterranean Sea, All World",4,4,0,0,4,4,Scheduled Revenue Flight,Flight,Unknown,1942,Conflict Factors
22-Nov-42,Marineluchtvaartdienst,Lockheed L-414 Hudson,"North Sea, All World",4,4,0,0,4,4,Survey / Patrol / Reconnaissance,Flight,Europe,1942,Disappeared Without Trace
